accel_var,r2,roughness
1e-12,-0.4334798371270876,0.07357010837245584
1.0530182484712203e-12,-0.4331529831067993,0.0735748031380926
1.1088474316133966e-12,-0.4328098637129414,0.07357974546239822
1.1676365802593455e-12,-0.4324497269646268,0.07358494830693463
1.2295426265956214e-12,-0.4320717921584116,0.07359042530009521
1.294730823078425e-12,-0.4316752494218361,0.07359619080049966
1.3633751835597446e-12,-0.43125925933933607,0.0736022604919105
1.4356589478012107e-12,-0.4308229526617906,0.07360864958846304
1.51177507061566e-12,-0.430365430111755,0.07361537472944861
1.5919267369421578e-12,-0.4298857622975385,0.07362245339916464
1.676327904229336e-12,-0.42938298975017,0.07362990441238632
1.7652038735750071e-12,-0.42885612309847865,0.07363775256345295
1.8587918911465674e-12,-0.42830414339832545,0.07364601245489785
1.9573417814876575e-12,-0.4277260026333418,0.07365470537573321
2.0611166144016713e-12,-0.42712062440526877,0.07366385367519553
2.1703934071921795e-12,-0.4264869048330686,0.07367348081021315
2.2854638641349932e-12,-0.42582371368100636,0.07368361139428654
2.4066351551556875e-12,-0.42512989573653703,0.07369427124772393
2.534230735791306e-12,-0.4244042724596966,0.07370548744915592
2.668591210624893e-12,-0.42364564392626414,0.07371728838823374
2.810075242497918e-12,-0.4228527910873776,0.07372970381939457
2.9590605099274974e-12,-0.42202447836854473,0.07374276831169314
3.1159447152842096e-12,-0.4211594566309447,0.07375651300149318
3.28114664642172e-12,-0.4202564665175741,0.07377097036662436
3.455107294592218e-12,-0.4193142422063316,0.0737861761748101
3.638291031631634e-12,-0.41833151559089177,0.0738021707126868
3.8311868495572925e-12,-0.4173070209089731,0.07381899708315014
4.034309665886777e-12,-0.4162394998355594,0.07383668972055374
4.248201698162608e-12,-0.4151277070563566,0.07385529131405924
4.473433911351653e-12,-0.41397041633351184,0.07387484641512128
4.710607541983278e-12,-0.4127664270722722,0.07389540218762405
4.960355703094552e-12,-0.41151457139270775,0.07391701056298877
5.223345074266832e-12,-0.41021372170570247,0.07393971801763739
5.500277681265236e-12,-0.40886279878692533,0.07396357704791531
5.791892770031264e-12,-0.4074607803355317,0.07398864223836084
6.098968780031447e-12,-0.40600670999777355,0.07401497313480722
6.422325422229369e-12,-0.40449970682723113,0.07404262648738522
6.762825867228134e-12,-0.402938975145156,0.07407166275880339
7.121379049424431e-12,-0.4013238147550644,0.07410214515957791
7.498942093324559e-12,-0.39965363145591515,0.07413413908572238
7.896522868499734e-12,-0.39792794778813545,0.07416771211376517
8.315182680000525e-12,-0.39614641393622385,0.07420293398549502
8.756039101412345e-12,-0.3943088187010899,0.07423987658148631
