accel_var,true_values_var,model,r2,roughness
1e-12,1e-12,0,-1.9438586142578904,0.9845094195240567
1e-12,1e-12,1,-1.9438586142633936,0.9846135748830063
1e-12,1e-12,2,-1.9438586142646392,0.9877337558714987
1e-12,1e-12,3,-1.9438586142642271,0.9853491302271724
1e-12,1e-12,4,-1.9438586142628878,0.9849413606761727
1e-12,1e-12,5,-1.943858614273429,0.9833120657348706
1e-12,1e-12,6,-1.943858614260844,0.9849981514523176
1e-12,1e-12,7,-1.9438586142656997,0.9842500389320493
1e-12,1e-12,8,-1.9438586142747392,0.9860854850001566
1e-12,1e-12,9,-1.9438586142747707,0.9820780565718163
1e-12,1e-12,10,-1.9438586142563934,0.9874603643615215
1e-12,1e-12,11,-1.9438586142651761,0.9835700023141777
1e-12,1e-12,12,-1.9438586142540624,0.9859505530717001
1e-12,1e-12,13,-1.9438586142688954,0.9838279217320121
1e-12,1e-12,14,-1.9438586142679095,0.9845450410435727
1e-12,3.8311868495572925e-12,0,-1.9137590861857152,0.8662527249630457
1e-12,3.8311868495572925e-12,1,-1.9137590862082638,0.8663870672586881
1e-12,3.8311868495572925e-12,2,-1.9137590862130809,0.8695596818923347
1e-12,3.8311868495572925e-12,3,-1.913759086212155,0.8670849641570106
1e-12,3.8311868495572925e-12,4,-1.9137590862064302,0.8667166920610069
1e-12,3.8311868495572925e-12,5,-1.9137590862491178,0.8649595662758323
1e-12,3.8311868495572925e-12,6,-1.9137590861978877,0.8668367771800589
1e-12,3.8311868495572925e-12,7,-1.91375908621825,0.8660210392612466
1e-12,3.8311868495572925e-12,8,-1.9137590862540468,0.8678930787921231
1e-12,3.8311868495572925e-12,9,-1.9137590862545668,0.8636785888071569
1e-12,3.8311868495572925e-12,10,-1.9137590861798723,0.8692854405095193
1e-12,3.8311868495572925e-12,11,-1.9137590862152232,0.8653048431599971
1e-12,3.8311868495572925e-12,12,-1.9137590861701281,0.86774193001766
1e-12,3.8311868495572925e-12,13,-1.9137590862309057,0.865568317746505
1e-12,3.8311868495572925e-12,14,-1.9137590862265146,0.8663297871492468
1e-12,1.4677992676220676e-11,0,-1.8596076890102342,0.7145137606745169
1e-12,1.4677992676220676e-11,1,-1.8596076891110371,0.7147009284847898
1e-12,1.4677992676220676e-11,2,-1.8596076891304794,0.7179368436000721
1e-12,1.4677992676220676e-11,3,-1.8596076891323672,0.7152963311036774
1e-12,1.4677992676220676e-11,4,-1.8596076891054483,0.7150253233030546
1e-12,1.4677992676220676e-11,5,-1.8596076892875284,0.7130126057297255
1e-12,1.4677992676220676e-11,6,-1.8596076890651023,0.7152591355626281
1e-12,1.4677992676220676e-11,7,-1.8596076891576252,0.7142859003632507
1e-12,1.4677992676220676e-11,8,-1.8596076893036564,0.7162201215595709
1e-12,1.4677992676220676e-11,9,-1.859607689309903,0.7116598179622633
1e-12,1.4677992676220676e-11,10,-1.859607688990856,0.7176705454942547
1e-12,1.4677992676220676e-11,11,-1.8596076891394846,0.7135223029283818
1e-12,1.4677992676220676e-11,12,-1.8596076889470075,0.7160596450116338
1e-12,1.4677992676220676e-11,13,-1.8596076892105935,0.7137655195291494
1e-12,1.4677992676220676e-11,14,-1.8596076891871554,0.7146237631970245
1e-12,5.6234132519034906e-11,0,-1.8126661625287919,0.5907643102520724
1e-12,5.6234132519034906e-11,1,-1.8126661630091747,0.5909530582096143
1e-12,5.6234132519034906e-11,2,-1.8126661630827883,0.5943056299249542
1e-12,5.6234132519034906e-11,3,-1.8126661631232746,0.5914441260925499
1e-12,5.6234132519034906e-11,4,-1.8126661629844572,0.5912910808242626
1e-12,5.6234132519034906e-11,5,-1.8126661637957748,0.5889531062804477
1e-12,5.6234132519034906e-11,6,-1.812666162783961,0.5916321544819645
1e-12,5.6234132519034906e-11,7,-1.8126661632193866,0.5904671862077171
1e-12,5.6234132519034906e-11,8,-1.8126661638362043,0.5925181861141124
1e-12,5.6234132519034906e-11,9,-1.8126661638813015,0.5875796209672037
1e-12,5.6234132519034906e-11,10,-1.8126661624779667,0.594039436421544
1e-12,5.6234132519034906e-11,11,-1.8126661631285823,0.5896580719472002
1e-12,5.6234132519034906e-11,12,-1.8126661622775928,0.5923050743680053
1e-12,5.6234132519034906e-11,13,-1.8126661634548937,0.589810865580778
1e-12,5.6234132519034906e-11,14,-1.8126661633219285,0.5908247021780588
1e-12,2.1544346900318867e-10,0,-1.794622368624041,0.5156443121275285
1e-12,2.1544346900318867e-10,1,-1.794622370948327,0.5157726471596373
1e-12,2.1544346900318867e-10,2,-1.7946223711586948,0.5192867352788036
1e-12,2.1544346900318867e-10,3,-1.7946223714404987,0.5162729715811726
1e-12,2.1544346900318867e-10,4,-1.794622370832606,0.5161600926907708
1e-12,2.1544346900318867e-10,5,-1.794622374422738,0.5135585733116559
1e-12,2.1544346900318867e-10,6,-1.7946223697227772,0.5165635669596638
1e-12,2.1544346900318867e-10,7,-1.7946223717684777,0.5152556074801519
1e-12,2.1544346900318867e-10,8,-1.7946223744512677,0.517449279787624
1e-12,2.1544346900318867e-10,9,-1.7946223746708876,0.5122251959162827
