accel_var,true_values_var,model,r2,roughness
1e-12,1e-12,0,0.7246245014415496,1.068349233697503
1e-12,1e-12,1,0.7246245014418151,1.0691851962207597
1e-12,1e-12,2,0.7246245014414391,1.072644326502502
1e-12,1e-12,3,0.724624501442148,1.0696260454735596
1e-12,1e-12,4,0.7246245014416781,1.067309805152015
1e-12,1e-12,5,0.7246245014400843,1.067730809095214
1e-12,1e-12,6,0.7246245014419368,1.0685637690120722
1e-12,1e-12,7,0.7246245014419348,1.0678554674774177
1e-12,1e-12,8,0.7246245014398587,1.0699610079607083
1e-12,1e-12,9,0.7246245014408398,1.066846993751149
1e-12,1e-12,10,0.724624501443146,1.0687730532027857
1e-12,1e-12,11,0.7246245014411129,1.0669570514834046
1e-12,1e-12,12,0.7246245014434157,1.0701529418748694
1e-12,1e-12,13,0.7246245014412593,1.0678478267081715
1e-12,1e-12,14,0.7246245014413106,1.0684524807533806
1e-12,3.8311868495572925e-12,0,0.7253090980844682,0.9353522677699135
1e-12,3.8311868495572925e-12,1,0.7253090980856893,0.9361998305670948
1e-12,3.8311868495572925e-12,2,0.7253090980844648,0.9397579641519539
1e-12,3.8311868495572925e-12,3,0.7253090980872373,0.9365976903995455
1e-12,3.8311868495572925e-12,4,0.725309098085374,0.9342729273243945
1e-12,3.8311868495572925e-12,5,0.7253090980787675,0.9345722937896802
1e-12,3.8311868495572925e-12,6,0.7253090980862718,0.9356069297275309
1e-12,3.8311868495572925e-12,7,0.7253090980862669,0.9347479285067488
1e-12,3.8311868495572925e-12,8,0.7253090980780388,0.9369562464705914
1e-12,3.8311868495572925e-12,9,0.7253090980820591,0.9336554212434977
1e-12,3.8311868495572925e-12,10,0.7253090980912354,0.9356659286807929
1e-12,3.8311868495572925e-12,11,0.7253090980829113,0.933839288435733
1e-12,3.8311868495572925e-12,12,0.7253090980923314,0.9372586300874599
1e-12,3.8311868495572925e-12,13,0.7253090980836401,0.9347700433091374
1e-12,3.8311868495572925e-12,14,0.7253090980838677,0.9354721928441866
1e-12,1.4677992676220676e-11,0,0.7310249987719375,0.7635413537957664
1e-12,1.4677992676220676e-11,1,0.7310249987769029,0.764383668609188
1e-12,1.4677992676220676e-11,2,0.7310249987733102,0.7681381214619273
1e-12,1.4677992676220676e-11,3,0.7310249987845847,0.7647013703239657
1e-12,1.4677992676220676e-11,4,0.7310249987767878,0.7623372398579545
1e-12,1.4677992676220676e-11,5,0.7310249987475055,0.7624636085857113
1e-12,1.4677992676220676e-11,6,0.7310249987811396,0.7638326258892181
1e-12,1.4677992676220676e-11,7,0.7310249987802178,0.7627137233888508
1e-12,1.4677992676220676e-11,8,0.7310249987466557,0.7651252307788321
1e-12,1.4677992676220676e-11,9,0.731024998763201,0.7615021877122284
1e-12,1.4677992676220676e-11,10,0.7310249988013188,0.7636518145820618
1e-12,1.4677992676220676e-11,11,0.7310249987656329,0.7617966023012491
1e-12,1.4677992676220676e-11,12,0.7310249988057693,0.7655605034898316
1e-12,1.4677992676220676e-11,13,0.7310249987695931,0.7627905928451031
1e-12,1.4677992676220676e-11,14,0.7310249987711036,0.7636134157361448
1e-12,5.6234132519034906e-11,0,0.7404654094407359,0.6247290621906249
1e-12,5.6234132519034906e-11,1,0.7404654094610783,0.6254758333926992
1e-12,5.6234132519034906e-11,2,0.7404654094457053,0.6295494770029302
1e-12,5.6234132519034906e-11,3,0.7404654095004888,0.6257319324583122
1e-12,5.6234132519034906e-11,4,0.7404654094607604,0.623303592651203
1e-12,5.6234132519034906e-11,5,0.740465409333221,0.6232849146027761
1e-12,5.6234132519034906e-11,6,0.7404654094899952,0.6249793145606635
1e-12,5.6234132519034906e-11,7,0.740465409480574,0.6236107183429984
1e-12,5.6234132519034906e-11,8,0.7404654093394865,0.6262870811708382
1e-12,5.6234132519034906e-11,9,0.7404654094061704,0.6222942433433161
1e-12,5.6234132519034906e-11,10,0.7404654095676936,0.6245855038951181
1e-12,5.6234132519034906e-11,11,0.7404654094138441,0.6226625728690118
1e-12,5.6234132519034906e-11,12,0.7404654095820572,0.6267717631583257
1e-12,5.6234132519034906e-11,13,0.7404654094351213,0.6236999603065004
1e-12,5.6234132519034906e-11,14,0.7404654094450496,0.6246080918279079
1e-12,2.1544346900318867e-10,0,0.7528849262783219,0.5416023407956327
1e-12,2.1544346900318867e-10,1,0.7528849263864873,0.5421948715338247
1e-12,2.1544346900318867e-10,2,0.7528849262753177,0.5466094143139529
1e-12,2.1544346900318867e-10,3,0.7528849265521822,0.5424217026692848
1e-12,2.1544346900318867e-10,4,0.7528849263456101,0.5399386352663701
1e-12,2.1544346900318867e-10,5,0.7528849258474302,0.5398391916112236
1e-12,2.1544346900318867e-10,6,0.7528849265004257,0.541756634286759
1e-12,2.1544346900318867e-10,7,0.7528849264557411,0.5402267764263003
1e-12,2.1544346900318867e-10,8,0.7528849258751862,0.5431116757731211
1e-12,2.1544346900318867e-10,9,0.7528849261393643,0.5388490072181368
1e-12,2.1544346900318867e-10,10,0.7528849268069915,0.5412230982747241
1e-12,2.1544346900318867e-10,11,0.7528849261693101,0.5392331800909721
1e-12,2.1544346900318867e-10,12,0.7528849268250815,0.5435947054874343
1e-12,2.1544346900318867e-10,13,0.7528849262652171,0.5402578315031809
1e-12,2.1544346900318867e-10,14,0.7528849263146992,0.5411960719014817
1e-12,8.254041852680207e-10,0,0.7667859941043939,0.4966912531159672
1e-12,8.254041852680207e-10,1,0.7667859941101659,0.49709016566379893
1e-12,8.254041852680207e-10,2,0.766785993739264,0.5018545900455862
