accel_var,true_values_var,model,r2,roughness
1e-12,1e-12,0,0.9998786774300192,0.8784667566153774
1e-12,1e-12,1,0.9998786774303379,0.8788774862368609
1e-12,1e-12,2,0.9998786774304751,0.882218488464163
1e-12,3.8311868495572925e-12,0,0.9991280759458095,0.7774557340171064
1e-12,3.8311868495572925e-12,1,0.9991280759458093,0.7778406262766875
1e-12,3.8311868495572925e-12,2,0.9991280759456975,0.7813416931853534
1e-12,1.4677992676220676e-11,0,0.9964732617569843,0.6474148563646652
1e-12,1.4677992676220676e-11,1,0.9964732618102918,0.6477570114973127
1e-12,1.4677992676220676e-11,2,0.9964732618271482,0.6515204416582374
1e-12,5.6234132519034906e-11,0,0.9905903989176666,0.5409865420106491
1e-12,5.6234132519034906e-11,1,0.9905903996966285,0.5412665191455795
1e-12,5.6234132519034906e-11,2,0.9905903999757238,0.5453154412402936
1e-12,2.1544346900318867e-10,0,0.9793039595517516,0.4762041349335144
1e-12,2.1544346900318867e-10,1,0.9793039639691221,0.4764209759094143
1e-12,2.1544346900318867e-10,2,0.9793039657177258,0.4806417773068438
1e-12,8.254041852680207e-10,0,0.959047112298953,0.4405654495665385
1e-12,8.254041852680207e-10,1,0.9590471271349138,0.4407144910404375
1e-12,8.254041852680207e-10,2,0.9590471344099939,0.4450741768034366
1e-12,3.1622776601683795e-09,0,0.9260896478676556,0.4174113678782152
1e-12,3.1622776601683795e-09,1,0.9260896493383921,0.41748839831757173
1e-12,3.1622776601683795e-09,2,0.9260896673431965,0.4219971996908335
1e-12,1.2115276586285901e-08,0,0.8770970693225351,0.39527755089057814
1e-12,1.2115276586285901e-08,1,0.8770968211651231,0.3953208297033264
1e-12,1.2115276586285901e-08,2,0.8770968583822899,0.400041160307645
1e-12,4.641588833612782e-08,0,0.8115551098527738,0.36475398716591106
1e-12,4.641588833612782e-08,1,0.8115531217225689,0.36481841163903905
1e-12,4.641588833612782e-08,2,0.811553178788857,0.3698592835001472
1e-12,1.7782794100389227e-07,0,0.7266993047421348,0.3287053914096554
1e-12,1.7782794100389227e-07,1,0.7266830845632103,0.32882734098888583
1e-12,1.7782794100389227e-07,2,0.7266811718343362,0.3342215087406244
1e-12,6.812920690579622e-07,0,0.61561324144639,0.2944456166008214
1e-12,6.812920690579622e-07,1,0.6155162757723149,0.294519604430738
1e-12,6.812920690579622e-07,2,0.6154947576874784,0.30016702773519016
1e-12,2.6101572156825386e-06,0,0.4836647637772714,0.2664998342425608
1e-12,2.6101572156825386e-06,1,0.48339750406363324,0.2664559095081635
1e-12,2.6101572156825386e-06,2,0.48333171750454773,0.27220998806523367
1e-12,1e-05,0,0.3420585477428877,0.24529528776742227
1e-12,1e-05,1,0.3418368004488742,0.24531633256958466
1e-12,1e-05,2,0.34182428123226183,0.25115093859814097
1e-12,3.831186849557293e-05,0,0.18939133533871144,0.22658085425554894
1e-12,3.831186849557293e-05,1,0.18982179546694744,0.22671043309516936
1e-12,3.831186849557293e-05,2,0.19011209230700343,0.23258336361462503
1e-12,0.00014677992676220735,0,0.04132604335882961,0.20936804760807015
1e-12,0.00014677992676220735,1,0.043424071689201926,0.20955682775920684
1e-12,0.00014677992676220735,2,0.044371555619743486,0.21540591688566962
1e-12,0.0005623413251903491,0,-0.07990304127511516,0.19484485146782213
1e-12,0.0005623413251903491,1,-0.07336982961993854,0.19545346315187662
1e-12,0.0005623413251903491,2,-0.07073019503456579,0.20147703843811385
1e-12,0.002154434690031887,0,-0.18292215934055966,0.1797682710049368
1e-12,0.002154434690031887,1,-0.1675260801302525,0.18127871072125895
1e-12,0.002154434690031887,2,-0.1617661869040372,0.18804886110734445
1e-12,0.008254041852680206,0,-0.31660894506926396,0.15897359695819707
1e-12,0.008254041852680206,1,-0.28702094083804286,0.1595701942980223
1e-12,0.008254041852680206,2,-0.27881706147179885,0.1683216744677486
1e-12,0.03162277660168379,0,-0.549683769870513,0.13996846650474454
1e-12,0.03162277660168379,1,-0.5198290546381545,0.13561666984069493
1e-12,0.03162277660168379,2,-0.5169866142599362,0.14561384745470404
1e-12,0.12115276586285902,0,-0.8030016675114082,0.13375196519325389
1e-12,0.12115276586285902,1,-0.8555084237978825,0.12422560737181648
1e-12,0.12115276586285902,2,-0.8914916572805058,0.1318044865852239
1e-12,0.46415888336127914,0,-0.9182266017464931,0.1379579408462007
1e-12,0.46415888336127914,1,-1.061053547702905,0.12457918070868933
1e-12,0.46415888336127914,2,-1.1379019733554836,0.13163149647821545
1e-12,1.7782794100389228,0,-0.9486035645519897,0.14195307636680576
1e-12,1.7782794100389228,1,-1.1270263183199596,0.12759649445144608
1e-12,1.7782794100389228,2,-1.210750863812812,0.13939602616375713
1e-12,6.812920690579622,0,-0.9557928174246995,0.14356546347725418
1e-12,6.812920690579622,1,-1.1442589957034182,0.12913206150260362
1e-12,6.812920690579622,2,-1.225186887494797,0.14461059462267553
1e-12,26.10157215682544,0,-0.9575767097974539,0.14404937851365462
1e-12,26.10157215682544,1,-1.1486938329519774,0.12962205952771347
1e-12,26.10157215682544,2,-1.228091783211359,0.14644998390693761
1e-12,100.0,0,-0.958034840496603,0.1441802220643837
1e-12,100.0,1,-1.14984511926925,0.1297580934731274
1e-12,100.0,2,-1.2287696792224976,0.14697063852918565
3.8311868495572925e-12,1e-12,0,0.9999890998783305,0.9239320225716656
3.8311868495572925e-12,1e-12,1,0.9999890998785292,0.9243535771436546
3.8311868495572925e-12,1e-12,2,0.9999890998786126,0.9276278591184486
3.8311868495572925e-12,3.8311868495572925e-12,0,0.9998786774258506,0.8784667618396179
3.8311868495572925e-12,3.8311868495572925e-12,1,0.9998786774271043,0.8788774894511033
3.8311868495572925e-12,3.8311868495572925e-12,2,0.9998786774276448,0.882218491253882
3.8311868495572925e-12,1.4677992676220676e-11,0,0.9991280759461665,0.7774557015789478
3.8311868495572925e-12,1.4677992676220676e-11,1,0.9991280759459424,0.7778406005361586
3.8311868495572925e-12,1.4677992676220676e-11,2,0.9991280759454803,0.781341671219251
3.8311868495572925e-12,5.6234132519034906e-11,0,0.996473261053659,0.6474146720544743
3.8311868495572925e-12,5.6234132519034906e-11,1,0.9964732612581627,0.6477568677919286
3.8311868495572925e-12,5.6234132519034906e-11,2,0.996473261321899,0.6515203189700248
3.8311868495572925e-12,2.1544346900318867e-10,0,0.9905903887994625,0.5409856122555945
3.8311868495572925e-12,2.1544346900318867e-10,1,0.990590391778536,0.541265789978204
3.8311868495572925e-12,2.1544346900318867e-10,2,0.9905903928496517,0.5453148138858441
3.8311868495572925e-12,8.254041852680207e-10,0,0.9793039027279671,0.4762003142356338
3.8311868495572925e-12,8.254041852680207e-10,1,0.9793039196317432,0.47641796772402534
3.8311868495572925e-12,8.254041852680207e-10,2,0.9793039263199349,0.4806391846073159
3.8311868495572925e-12,3.1622776601683795e-09,0,0.9590469274304205,0.4405501762472292
3.8311868495572925e-12,3.1622776601683795e-09,1,0.959046983841586,0.44070240991314347
