accel_var,model,r2,roughness
1e-12,0,-0.7262541342627096,0.13384606817802747
1e-12,1,-0.8346994742820075,0.12379745118201789
1e-12,2,-0.9026827896680953,0.1312964020403881
1e-12,3,-0.8321095286206337,0.1247046254744194
1e-12,4,-0.8374203376476601,0.12246820597726607
1e-12,5,-0.8662751163560112,0.1224637505047244
1e-12,6,-0.8130864365520816,0.12876277598647648
1e-12,7,-0.8680568813972409,0.12474163194007072
1e-12,8,-0.8481646827427411,0.1310537243783187
1e-12,9,-0.9341382363406916,0.118631490049874
1e-12,10,-0.9816483849900319,0.1267737705453817
1e-12,11,-0.8111756387627285,0.1252252380293692
1e-12,12,-0.9257610751337373,0.12686612710337491
1e-12,13,-1.0159103917557912,0.12206668132711622
1e-12,14,-0.8451549776438076,0.12665406992057385
1.3530477745798075e-12,0,-0.7255296643243461,0.1338701863362104
1.3530477745798075e-12,1,-0.834100821425084,0.12381193934911777
1.3530477745798075e-12,2,-0.9022253607073858,0.13131309146933035
1.3530477745798075e-12,3,-0.8316945477191617,0.12471874172250941
1.3530477745798075e-12,4,-0.8368914984736349,0.12248526518874428
1.3530477745798075e-12,5,-0.8656982047282633,0.12249097860414018
1.3530477745798075e-12,6,-0.8123750130180558,0.12878132612069318
1.3530477745798075e-12,7,-0.8675667777665603,0.12475725317141036
1.3530477745798075e-12,8,-0.8477508521565085,0.13107569490666057
1.3530477745798075e-12,9,-0.9339676415441489,0.11864478487476827
1.3530477745798075e-12,10,-0.980955461782538,0.12679240165374078
1.3530477745798075e-12,11,-0.8106667596069397,0.1252459943776941
1.3530477745798075e-12,12,-0.9251245651972853,0.12688531480913545
1.3530477745798075e-12,13,-1.0155789754603743,0.12207684887500209
1.3530477745798075e-12,14,-0.844790416537152,0.12666916397892003
1.8307382802953697e-12,0,-0.7245510835943321,0.13390289433792632
1.8307382802953697e-12,1,-0.8332909350728384,0.1238316584390859
1.8307382802953697e-12,2,-0.9016046329755745,0.13133568885796004
1.8307382802953697e-12,3,-0.8311323570381743,0.12473786323774194
1.8307382802953697e-12,4,-0.8361763283690555,0.12250833781385208
1.8307382802953697e-12,5,-0.8649187857139926,0.12252766720651802
1.8307382802953697e-12,6,-0.8114144640063081,0.12880642135039222
1.8307382802953697e-12,7,-0.866903442788542,0.12477838646691337
1.8307382802953697e-12,8,-0.8471896236812562,0.13110533574707414
1.8307382802953697e-12,9,-0.9337341293074828,0.11866278039885991
1.8307382802953697e-12,10,-0.9800187455611404,0.12681759845300314
1.8307382802953697e-12,11,-0.8099776847997657,0.1252740293282858
1.8307382802953697e-12,12,-0.9242619809195272,0.12691130687302646
1.8307382802953697e-12,13,-1.01512908687821,0.12209064664330502
1.8307382802953697e-12,14,-0.8442955320423964,0.12668960956205594
2.477076355991714e-12,0,-0.723230197119582,0.1339472629324521
2.477076355991714e-12,1,-0.832195496094736,0.12385853563430874
2.477076355991714e-12,2,-0.900761672987967,0.1313662839868302
2.477076355991714e-12,3,-0.8303705109006492,0.12476376870252992
2.477076355991714e-12,4,-0.8352094438644193,0.12253953305253729
2.477076355991714e-12,5,-0.8638663831492499,0.12257702793096521
2.477076355991714e-12,6,-0.8101186152854889,0.12884035973166777
2.477076355991714e-12,7,-0.8660056544022385,0.1248069693978695
2.477076355991714e-12,8,-0.8464280245189741,0.13114529343817316
2.477076355991714e-12,9,-0.9334133688875805,0.11868713887588105
2.477076355991714e-12,10,-0.9787529979816476,0.12685166279625254
2.477076355991714e-12,11,-0.8090445035016824,0.12531186903893313
2.477076355991714e-12,12,-0.9230927132434845,0.12694651487927125
2.477076355991714e-12,13,-1.0145178026259773,0.12210938452544881
2.477076355991714e-12,14,-0.8436231147188238,0.1267173086578635
3.351602650938848e-12,0,-0.7214491062034469,0.13400744501478645
3.351602650938848e-12,1,-0.8307143665183889,0.1238952245108928
3.351602650938848e-12,2,-0.8996159699628725,0.13140769483068004
3.351602650938848e-12,3,-0.8293378028327587,0.12479886601459614
3.351602650938848e-12,4,-0.8339028293019655,0.12258168457403373
3.351602650938848e-12,5,-0.8624465471051868,0.12264332462614089
3.351602650938848e-12,6,-0.8083724508066672,0.12888622819115872
3.351602650938848e-12,7,-0.8647906640951759,0.12484560939028148
3.351602650938848e-12,8,-0.8453937977398212,0.13119910079238964
3.351602650938848e-12,9,-0.932970843073385,0.11872010643970542
3.351602650938848e-12,10,-0.9770437521221387,0.12689768268797136
3.351602650938848e-12,11,-0.8077807026469264,0.12536288823769956
3.351602650938848e-12,12,-0.9215074689419149,0.1269941860926194
3.351602650938848e-12,13,-1.0136862999491631,0.12213485090270608
3.351602650938848e-12,14,-0.8427084876573154,0.12675483171999322
4.534878508128591e-12,0,-0.7190511030281215,0.13408904342901382
4.534878508128591e-12,1,-0.82871307420054,0.12394537407694615
4.534878508128591e-12,2,-0.8980575508341617,0.13146370683138905
4.534878508128591e-12,3,-0.8279376300140922,0.12484640515399814
4.534878508128591e-12,4,-0.8321383697898823,0.12263857846340803
4.534878508128591e-12,5,-0.8605332189678823,0.12273211812721502
4.534878508128591e-12,6,-0.8060233582616563,0.12894815137183704
4.534878508128591e-12,7,-0.86314684843783,0.12489779800675063
4.534878508128591e-12,8,-0.843988362188564,0.13127142076680867
4.534878508128591e-12,9,-0.9323571466640259,0.11876471282746727
4.534878508128591e-12,10,-0.9747379200475363,0.12695977763491573
4.534878508128591e-12,11,-0.8060694134218458,0.12543155921321567
4.534878508128591e-12,12,-0.9193584816371312,0.1270586756725106
4.534878508128591e-12,13,-1.012553841136699,0.12216948598068689
4.534878508128591e-12,14,-0.8414629300284893,0.12680565784589126
6.135907273413163e-12,0,-0.7158296636441708,0.13419951502780642
6.135907273413163e-12,1,-0.8260120571787763,0.12401396161772894
6.135907273413163e-12,2,-0.8959365203354921,0.1315393574567794
6.135907273413163e-12,3,-0.826039230857132,0.124910745835175
6.135907273413163e-12,4,-0.8297583467506975,0.12271523370381485
6.135907273413163e-12,5,-0.8579591680676073,0.12285063212172186
6.135907273413163e-12,6,-0.8028705632641546,0.12903158824656297
6.135907273413163e-12,7,-0.8609241803244845,0.1249681900172956
6.135907273413163e-12,8,-0.8420773951422014,0.13136835343157688
6.135907273413163e-12,9,-0.9315009922631603,0.11882503353337823
6.135907273413163e-12,10,-0.9716320690444689,0.1270433886297498
6.135907273413163e-12,11,-0.8037534007546181,0.12552375649692088
6.135907273413163e-12,12,-0.9164470999706993,0.1271457470336731
6.135907273413163e-12,13,-1.0110095621998156,0.12221660878212462
6.135907273413163e-12,14,-0.8397647459907576,0.12687445877448256
8.302175681319735e-12,0,-0.7115160151771986,0.1343486202692579
